Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,Memory Type _ 1,Memory Address,
B0,AGVS,,Boolean,,,,,,,,,,,,B,0,B0
B1,AGVS,,Boolean,,,,,,,,,,,,B,1,B1
B2,AGVS,,Boolean,,,,,,,,,,,,B,2,B2
B3,AGVS,,Boolean,,,,,,,,,,,,B,3,B3
B4,AGVS,VALID,Boolean,5.2.2 Status Download by AGVS,PORT1,VALID,1,,,,,,,,B,4,B4
B5,AGVS,TR-REQ,Boolean,5.2.2 Status Download by AGVS,PORT1,TR_REQ,2,,,,,,,,B,5,B5
B6,AGVS,BUSY,Boolean,5.2.2 Status Download by AGVS,PORT1,BUSY,3,,,,,,,,B,6,B6
B7,AGVS,COMPT,Boolean,5.2.2 Status Download by AGVS,PORT1,COMPT,4,,,,,,,,B,7,B7
B8,AGVS,AGV_READY,Boolean,,PORT1,AGV_READY,5,,,,,,,,B,8,B8
B9,AGVS,,Boolean,,,,6,,,,,,,,B,9,B9
BA,AGVS,,Boolean,,,,7,,,,,,,,B,10,BA
BB,AGVS,,Boolean,,,,8,,,,,,,,B,11,BB
BC,AGVS,Port Mode Change Request,Boolean,,PORT1,Port_Mode_Change_Request,,,,,,,,,B,12,BC
BD,AGVS,Port Mode Changed Report Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,,,,,,,,,B,13,BD
BE,AGVS,Port Disabled Report Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,,,,,,,,,B,14,BE
BF,AGVS,Port Enbled Report Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,,,,,,,,,B,15,BF
B10,AGVS,,Boolean,6.1 Rack Load Request,PORT1,,,,,,,,,,B,16,B10
B11,AGVS,Carrier WaitIn System Reply,Boolean,6.1 Rack Unload Request,PORT1,Carrier_WaitIn_System_Reply,,,,,,,,,B,17,B11
B12,AGVS,Carrier WaitIn System Accept,Boolean,6.2 Change Mode CMD,PORT1,Carrier_WaitIn_System_Accept,,,,,,,,,B,18,B12
B13,AGVS,Carrier WaitIn System Refuse,Boolean,6.3 Manual Load Complete,PORT1,Carrier_WaitIn_System_Refuse,,,,,,,,,B,19,B13
B14,AGVS,Carrier WawitOut System Reply,Boolean,6.3 Manual Unload Complete,PORT1,Carrier_WawitOut_System_Reply,,,,,,,,,B,20,B14
B15,AGVS,Carrier Removed Completed Report Reply,Boolean,6.4 Mode Change Request,PORT1,Carrier_Removed_Completed_Report_Reply,,,,,,,,,B,21,B15
B16,AGVS,Carrier Force In System Reply,Boolean,6.4 Mode Change Request,PORT1,Carrier_Force_In_System_Reply,,,,,,,,,B,22,B16
B17,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,9,,,,,,,,B,23,B17
B18,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,10,,,,,,,,B,24,B18
B19,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,11,,,,,,,,B,25,B19
B1A,AGVS,CMD reserve Low,Boolean,6.5 Proceed Request,PORT1,CMD_reserve_Low,12,,,,,,,,B,26,B1A
B1B,AGVS,,Boolean,6.6 Release Request,,,13,,,,,,,,B,27,B1B
B1C,AGVS,VALID,Boolean,,PORT2,VALID,14,,,,,,,,B,28,B1C
B1D,AGVS,TR-REQ,Boolean,,PORT2,TR_REQ,15,,,,,,,,B,29,B1D
B1E,AGVS,BUSY,Boolean,,PORT2,BUSY,16,,,,,,,,B,30,B1E
B1F,AGVS,COMPT,Boolean,,PORT2,COMPT,17,,,,,,,,B,31,B1F
B20,AGVS,AGV_READY,Boolean,,PORT2,AGV_READY,18,,,,,,,,B,32,B20
B21,AGVS,,Boolean,,PORT2,,,,,,,,,,B,33,B21
B22,AGVS,Port Mode Change Request,Boolean,,PORT2,Port_Mode_Change_Request,,,,,,,,,B,34,B22
B23,AGVS,Port Mode Changed Report Reply,Boolean,,PORT2,Port_Mode_Changed_Report_Reply,,,,,,,,,B,35,B23
B24,AGVS,Port Disabled Report Reply,Boolean,,PORT2,Port_Disabled_Report_Reply,,,,,,,,,B,36,B24
B25,AGVS,Port Enabled Report Reply,Boolean,,PORT2,Port_Enbled_Report_Reply,,,,,,,,,B,37,B25
B26,AGVS,,Boolean,,PORT2,,,,,,,,,,B,38,B26
B27,AGVS,Carrier WaitIn System Reply,Boolean,,PORT2,Carrier_WaitIn_System_Reply,,,,,,,,,B,39,B27
B28,AGVS,Carrier WaitIn System Accept,Boolean,,PORT2,Carrier_WaitIn_System_Accept,,,,,,,,,B,40,B28
B29,AGVS,Carrier WaitIn System Refuse,Boolean,,PORT2,Carrier_WaitIn_System_Refuse,,,,,,,,,B,41,B29
B2A,AGVS,Carrier WawitOut System Reply,Boolean,,PORT2,Carrier_WawitOut_System_Reply,,,,,,,,,B,42,B2A
B2B,AGVS,Carrier Removed Completed Report Reply,Boolean,,PORT2,Carrier_Removed_Completed_Report_Reply,,,,,,,,,B,43,B2B
B2C,AGVS,Carrier Force In System Reply,Boolean,,PORT2,Carrier_Force_In_System_Reply,,,,,,,,,B,44,B2C
B2D,AGVS,To EQ Up,Boolean,,PORT2,To_EQ_Up,22,,,,,,,,B,45,B2D
B2E,AGVS,To EQ Low,Boolean,,PORT2,To_EQ_Low,23,,,,,,,,B,46,B2E
B2F,AGVS,CMD reserve Up,Boolean,,PORT2,CMD_reserve_Up,24,,,,,,,,B,47,B2F
B30,AGVS,CMD reserve Low,Boolean,,PORT2,CMD_reserve_Low,25,,,,,,,,B,48,B30
B31,AGVS,,Boolean,,,,,,,,,,,,B,49,B31
B32,AGVS,,Boolean,,,,,,,,,,,,B,50,B32
B33,AGVS,,Boolean,,,,,,,,,,,,B,51,B33
B34,AGVS,,Boolean,,,,,,,,,,,,B,52,B34
B35,AGVS,,Boolean,,,,,,,,,,,,B,53,B35
B36,AGVS,,Boolean,,,,,,,,,,,,B,54,B36
B37,AGVS,,Boolean,,,,,,,,,,,,B,55,B37
B38,AGVS,,Boolean,,,,,,,,,,,,B,56,B38
B39,AGVS,,Boolean,,,,,,,,,,,,B,57,B39
B3A,AGVS,,Boolean,,,,,,,,,,,,B,58,B3A
B3B,AGVS,,Boolean,,,,,,,,,,,,B,59,B3B
B3C,AGVS,,Boolean,,,,,,,,,,,,B,60,B3C
B3D,AGVS,,Boolean,,,,,,,,,,,,B,61,B3D
B3E,AGVS,,Boolean,,,,,,,,,,,,B,62,B3E
B3F,AGVS,,Boolean,,,,,,,,,,,,B,63,B3F
